GeneID	Pn	Ps	Pn/Ps	Total
Ex4_000001	1	0	Undef	1
Ex4_000002	0	0	Undef	0
Ex4_000003	0	0	Undef	0
Ex4_000081	0	0	Undef	0
Ex4_000082	1	0	Undef	1
Ex4_000083	0	0	Undef	0
Ex4_000084	0	0	Undef	0
Ex4_000085	0	0	Undef	0
Ex4_000122	0	0	Undef	0
Ex4_000123	0	0	Undef	0
Ex4_000124	0	0	Undef	0
Ex4_000125	0	0	Undef	0
Ex4_000126	0	0	Undef	0
Ex4_000127	0	0	Undef	0
Ex4_000128	0	0	Undef	0
Ex4_000153	0	0	Undef	0
Ex4_000154	0	0	Undef	0
Ex4_000155	0	0	Undef	0
Ex4_000156	0	0	Undef	0
Ex4_000157	0	0	Undef	0
Ex4_000238	0	0	Undef	0
Ex4_000239	0	0	Undef	0
Ex4_000240	0	0	Undef	0
Ex4_000241	0	0	Undef	0
Ex4_000246	0	0	Undef	0
Ex4_000247	0	0	Undef	0
Ex4_000248	0	1	0.0	1
Ex4_000249	0	0	Undef	0
Ex4_000250	0	0	Undef	0
Ex4_000258	0	0	Undef	0
Ex4_000259	0	0	Undef	0
Ex4_000260	1	0	Undef	1
Ex4_000261	0	0	Undef	0
Ex4_000262	0	0	Undef	0
Ex4_000279	0	0	Undef	0
Ex4_000280	0	0	Undef	0
Ex4_000281	1	0	Undef	1
Ex4_000282	0	0	Undef	0
Ex4_000318	0	0	Undef	0
Ex4_000319	0	0	Undef	0
Ex4_000342	0	0	Undef	0
Ex4_000343	0	0	Undef	0
Ex4_000344	0	0	Undef	0
Ex4_000345	0	0	Undef	0
Ex4_000346	1	0	Undef	1
Ex4_000347	0	0	Undef	0
Ex4_000348	0	0	Undef	0
Ex4_000450	0	0	Undef	0
Ex4_000451	0	0	Undef	0
Ex4_000452	0	0	Undef	0
Ex4_000563	0	0	Undef	0
Ex4_000564	0	0	Undef	0
Ex4_000603	0	0	Undef	0
Ex4_000604	0	1	0.0	1
Ex4_000605	0	0	Undef	0
Ex4_000606	0	0	Undef	0
Ex4_000607	0	0	Undef	0
Ex4_000608	1	0	Undef	1
Ex4_000609	0	0	Undef	0
Ex4_000610	0	0	Undef	0
Ex4_000631	0	0	Undef	0
Ex4_000632	0	0	Undef	0
Ex4_000633	0	0	Undef	0
Ex4_000634	0	0	Undef	0
Ex4_000663	0	0	Undef	0
Ex4_000664	0	0	Undef	0
Ex4_000665	0	1	0.0	1
Ex4_000704	0	0	Undef	0
Ex4_000705	1	0	Undef	1
Ex4_000747	0	0	Undef	0
Ex4_000748	0	1	0.0	1
Ex4_000749	0	0	Undef	0
Ex4_000779	0	0	Undef	0
Ex4_000780	0	0	Undef	0
Ex4_000781	0	0	Undef	0
Ex4_000782	0	0	Undef	0
Ex4_000788	0	0	Undef	0
Ex4_000789	0	0	Undef	0
Ex4_000790	0	0	Undef	0
Ex4_000886	0	0	Undef	0
Ex4_000887	0	0	Undef	0
Ex4_000888	1	0	Undef	1
Ex4_000889	0	0	Undef	0
Ex4_000944	0	0	Undef	0
Ex4_000945	0	0	Undef	0
Ex4_000946	1	0	Undef	1
Ex4_000947	0	0	Undef	0
Ex4_000948	0	0	Undef	0
Ex4_000949	0	0	Undef	0
Ex4_000958	0	0	Undef	0
Ex4_000959	1	0	Undef	1
Ex4_000960	0	0	Undef	0
Ex4_000961	0	0	Undef	0
Ex4_001011	0	0	Undef	0
Ex4_001012	0	0	Undef	0
Ex4_001013	0	0	Undef	0
Ex4_001023	0	0	Undef	0
Ex4_001070	0	0	Undef	0
Ex4_001082	0	0	Undef	0
Ex4_001083	0	0	Undef	0
Ex4_001084	0	0	Undef	0
Ex4_001085	0	0	Undef	0
Ex4_001086	0	0	Undef	0
Ex4_001087	0	0	Undef	0
Ex4_001088	0	0	Undef	0
Ex4_001089	0	0	Undef	0
Ex4_001090	0	0	Undef	0
Ex4_001122	0	0	Undef	0
Ex4_001123	0	0	Undef	0
Ex4_001124	0	1	0.0	1
Ex4_001125	0	0	Undef	0
Ex4_001126	0	0	Undef	0
Ex4_001129	0	0	Undef	0
Ex4_001130	0	0	Undef	0
Ex4_001131	0	0	Undef	0
Ex4_001138	0	0	Undef	0
Ex4_001139	0	0	Undef	0
Ex4_001140	0	1	0.0	1
Ex4_001141	0	0	Undef	0
Ex4_001142	0	0	Undef	0
Ex4_001171	0	0	Undef	0
Ex4_001172	0	0	Undef	0
Ex4_001173	0	0	Undef	0
Ex4_001174	0	0	Undef	0
Ex4_001228	0	0	Undef	0
Ex4_001229	1	1	1.0	2
Ex4_001230	0	0	Undef	0
Ex4_001231	0	0	Undef	0
Ex4_001276	0	0	Undef	0
Ex4_001277	0	0	Undef	0
Ex4_001278	0	0	Undef	0
Ex4_001279	0	0	Undef	0
Ex4_001280	0	0	Undef	0
Ex4_001282	0	0	Undef	0
Ex4_001283	0	1	0.0	1
Ex4_001284	0	0	Undef	0
Ex4_001310	0	0	Undef	0
Ex4_001311	0	0	Undef	0
Ex4_001312	0	0	Undef	0
Ex4_001313	0	0	Undef	0
Ex4_001375	0	0	Undef	0
Ex4_001376	0	0	Undef	0
Ex4_001377	0	0	Undef	0
Ex4_001389	0	0	Undef	0
Ex4_001390	0	0	Undef	0
Ex4_001391	0	0	Undef	0
Ex4_001392	0	0	Undef	0
Ex4_001399	0	0	Undef	0
Ex4_001400	0	0	Undef	0
Ex4_001401	1	0	Undef	1
Ex4_001402	0	0	Undef	0
Ex4_001403	0	0	Undef	0
Ex4_001435	0	0	Undef	0
Ex4_001436	0	0	Undef	0
Ex4_001437	1	0	Undef	1
Ex4_001438	0	0	Undef	0
Ex4_001439	0	0	Undef	0
Ex4_001506	0	0	Undef	0
Ex4_001507	0	0	Undef	0
Ex4_001508	0	0	Undef	0
Ex4_001509	0	0	Undef	0
Ex4_001718	0	0	Undef	0
Ex4_001719	0	0	Undef	0
Ex4_001720	0	0	Undef	0
Ex4_001721	0	0	Undef	0
Ex4_001751	0	0	Undef	0
Ex4_001752	0	0	Undef	0
Ex4_001753	0	0	Undef	0
Ex4_001754	1	0	Undef	1
Ex4_001802	0	0	Undef	0
Ex4_001803	1	0	Undef	1
Ex4_001804	0	0	Undef	0
Ex4_001805	0	0	Undef	0
Ex4_001875	0	0	Undef	0
Ex4_001876	0	0	Undef	0
Ex4_001877	0	0	Undef	0
Ex4_001878	0	0	Undef	0
Ex4_001879	0	0	Undef	0
Ex4_001947	0	0	Undef	0
Ex4_001948	1	0	Undef	1
Ex4_001949	0	0	Undef	0
Ex4_001950	0	0	Undef	0
Ex4_001955	0	0	Undef	0
Ex4_001956	0	0	Undef	0
Ex4_001957	0	0	Undef	0
Ex4_001958	0	0	Undef	0
Ex4_001959	0	0	Undef	0
Ex4_001960	0	0	Undef	0
Ex4_001988	0	0	Undef	0
Ex4_001989	1	0	Undef	1
Ex4_001990	0	0	Undef	0
Ex4_001991	0	0	Undef	0
Ex4_002000	0	0	Undef	0
Ex4_002001	0	0	Undef	0
Ex4_002002	0	0	Undef	0
Ex4_002003	0	0	Undef	0
Ex4_002004	0	0	Undef	0
Ex4_002049	0	0	Undef	0
Ex4_002050	1	0	Undef	1
Ex4_002051	0	0	Undef	0
Ex4_002052	0	0	Undef	0
Ex4_002069	0	0	Undef	0
Ex4_002070	0	1	0.0	1
Ex4_002071	0	0	Undef	0
Ex4_002143	0	0	Undef	0
Ex4_002144	0	0	Undef	0
Ex4_002145	0	1	0.0	1
Ex4_002146	0	0	Undef	0
Ex4_002181	0	0	Undef	0
Ex4_002182	0	0	Undef	0
Ex4_002183	0	0	Undef	0
Ex4_002184	0	0	Undef	0
Ex4_002185	1	0	Undef	1
Ex4_002186	0	0	Undef	0
Ex4_002191	0	0	Undef	0
Ex4_002192	0	0	Undef	0
Ex4_002193	0	0	Undef	0
Ex4_002194	0	0	Undef	0
Ex4_002196	0	0	Undef	0
Ex4_002197	0	0	Undef	0
Ex4_002198	0	0	Undef	0
Ex4_002199	0	0	Undef	0
Ex4_002207	0	0	Undef	0
Ex4_002208	0	0	Undef	0
Ex4_002209	0	0	Undef	0
Ex4_002210	0	0	Undef	0
Ex4_002211	0	0	Undef	0
Ex4_002212	0	0	Undef	0
Ex4_002238	0	0	Undef	0
Ex4_002239	1	0	Undef	1
Ex4_002240	0	0	Undef	0
