# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Ex4_000001	Ex4_000001	Ex4_000001-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000002	Ex4_000002	Ex4_000002-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000003	Ex4_000003	Ex4_000003-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000081	Ex4_000081	Ex4_000081-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000082	Ex4_000082	Ex4_000082-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000083	Ex4_000083	Ex4_000083-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000084	Ex4_000084	Ex4_000084-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000085	Ex4_000085	Ex4_000085-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000122	Ex4_000122	Ex4_000122-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000123	Ex4_000123	Ex4_000123-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000124	Ex4_000124	Ex4_000124-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000125	Ex4_000125	Ex4_000125-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000126	Ex4_000126	Ex4_000126-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000127	Ex4_000127	Ex4_000127-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000128	Ex4_000128	Ex4_000128-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000153	Ex4_000153	Ex4_000153-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000154	Ex4_000154	Ex4_000154-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000155	Ex4_000155	Ex4_000155-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000156	Ex4_000156	Ex4_000156-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000157	Ex4_000157	Ex4_000157-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000238	Ex4_000238	Ex4_000238-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000239	Ex4_000239	Ex4_000239-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000240	Ex4_000240	Ex4_000240-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000241	Ex4_000241	Ex4_000241-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000246	Ex4_000246	Ex4_000246-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000247	Ex4_000247	Ex4_000247-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000248	Ex4_000248	Ex4_000248-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_000249	Ex4_000249	Ex4_000249-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000250	Ex4_000250	Ex4_000250-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000258	Ex4_000258	Ex4_000258-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000259	Ex4_000259	Ex4_000259-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000260	Ex4_000260	Ex4_000260-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000261	Ex4_000261	Ex4_000261-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000262	Ex4_000262	Ex4_000262-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000279	Ex4_000279	Ex4_000279-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000280	Ex4_000280	Ex4_000280-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000281	Ex4_000281	Ex4_000281-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000282	Ex4_000282	Ex4_000282-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000318	Ex4_000318	Ex4_000318-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000319	Ex4_000319	Ex4_000319-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000342	Ex4_000342	Ex4_000342-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000343	Ex4_000343	Ex4_000343-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
