Orthogroup	E_dermatitidis_DCF04.aa	E_dermatitidis_NIHUT8656.aa
OG0000000	HRR76_000082-T1, HRR76_001171-T1, HRR76_002484-T1, HRR76_002549-T1, HRR76_003142-T1, HRR76_003143-T1, HRR76_004225-T1, HRR76_009302-T1	HMPREF1120_00086, HMPREF1120_01133, HMPREF1120_02375, HMPREF1120_02433, HMPREF1120_02985, HMPREF1120_04031, HMPREF1120_08981
OG0000001	HRR76_000502-T1, HRR76_002101-T1, HRR76_003411-T1, HRR76_003433-T1, HRR76_005631-T1, HRR76_005632-T1, HRR76_008591-T1	HMPREF1120_00490, HMPREF1120_02011, HMPREF1120_03254, HMPREF1120_03274, HMPREF1120_04339, HMPREF1120_05409, HMPREF1120_08301
OG0000002	HRR76_000559-T1, HRR76_000712-T1, HRR76_001147-T1, HRR76_003358-T1, HRR76_003420-T1, HRR76_009488-T1	HMPREF1120_00545, HMPREF1120_00693, HMPREF1120_01109, HMPREF1120_03201, HMPREF1120_03262, HMPREF1120_09163
OG0000003	HRR76_001529-T1, HRR76_003036-T1, HRR76_005624-T1, HRR76_006527-T1, HRR76_006640-T2, HRR76_007428-T1	HMPREF1120_01472, HMPREF1120_02903, HMPREF1120_05402, HMPREF1120_06295, HMPREF1120_06409, HMPREF1120_07207
OG0000004	HRR76_001487-T1, HRR76_003045-T1, HRR76_006611-T1, HRR76_007958-T1, HRR76_009199-T1	HMPREF1120_01430, HMPREF1120_02913, HMPREF1120_04413, HMPREF1120_06382, HMPREF1120_07723, HMPREF1120_08874
OG0000005	HRR76_003028-T1, HRR76_006208-T1, HRR76_007837-T1, HRR76_008088-T1, HRR76_009301-T1	HMPREF1120_02895, HMPREF1120_05979, HMPREF1120_07610, HMPREF1120_07848, HMPREF1120_08980
OG0000006	HRR76_003921-T1, HRR76_007227-T1, HRR76_007679-T1, HRR76_008527-T1, HRR76_008839-T1	HMPREF1120_03738, HMPREF1120_07014, HMPREF1120_07451, HMPREF1120_08239, HMPREF1120_08539
OG0000007	HRR76_000512-T1, HRR76_001549-T1, HRR76_003538-T1, HRR76_005891-T1, HRR76_008278-T1	HMPREF1120_00498, HMPREF1120_01493, HMPREF1120_03376, HMPREF1120_05669, HMPREF1120_07995
OG0000008	HRR76_001741-T1, HRR76_004045-T1, HRR76_004623-T1, HRR76_008112-T1, HRR76_008567-T1	HMPREF1120_01686, HMPREF1120_03854, HMPREF1120_04434, HMPREF1120_07871, HMPREF1120_08277
OG0000009	HRR76_003044-T1, HRR76_003539-T1, HRR76_006612-T1, HRR76_007957-T1, HRR76_008725-T1	HMPREF1120_02912, HMPREF1120_03377, HMPREF1120_06383, HMPREF1120_07722, HMPREF1120_08429
OG0000010	HRR76_001054-T1, HRR76_001089-T1, HRR76_005595-T1, HRR76_007723-T1, HRR76_008037-T1	HMPREF1120_01023, HMPREF1120_01058, HMPREF1120_05374, HMPREF1120_07494, HMPREF1120_07796
OG0000011	HRR76_001035-T1, HRR76_001491-T1, HRR76_003680-T1, HRR76_009215-T1, HRR76_009561-T1	HMPREF1120_01434, HMPREF1120_03517, HMPREF1120_08894, HMPREF1120_09237
OG0000012	HRR76_002064-T1, HRR76_003173-T1, HRR76_004453-T1, HRR76_005399-T1	HMPREF1120_00005, HMPREF1120_01975, HMPREF1120_03018, HMPREF1120_04257, HMPREF1120_05176
OG0000013	HRR76_001146-T1, HRR76_008315-T1, HRR76_008733-T1, HRR76_009557-T1	HMPREF1120_01107, HMPREF1120_01510, HMPREF1120_08029, HMPREF1120_08437, HMPREF1120_09232
OG0000014	HRR76_002835-T1, HRR76_003747-T1, HRR76_006634-T1, HRR76_006855-T1	HMPREF1120_02710, HMPREF1120_03586, HMPREF1120_04954, HMPREF1120_06403, HMPREF1120_06653
OG0000015	HRR76_001110-T1, HRR76_002469-T1, HRR76_006201-T1, HRR76_009051-T1	HMPREF1120_01077, HMPREF1120_02360, HMPREF1120_04342, HMPREF1120_05973, HMPREF1120_08729
OG0000016	HRR76_000720-T1, HRR76_002094-T1, HRR76_004392-T1, HRR76_008370-T1	HMPREF1120_00701, HMPREF1120_02004, HMPREF1120_04193, HMPREF1120_08084
OG0000017	HRR76_001900-T1, HRR76_002482-T1, HRR76_003464-T1, HRR76_008003-T1	HMPREF1120_01831, HMPREF1120_02373, HMPREF1120_03304, HMPREF1120_07765
OG0000018	HRR76_004889-T1, HRR76_004933-T1, HRR76_007736-T1, HRR76_007737-T1	HMPREF1120_03255, HMPREF1120_04689, HMPREF1120_04733, HMPREF1120_07505
OG0000019	HRR76_000593-T1, HRR76_006935-T1, HRR76_007365-T1, HRR76_008244-T1	HMPREF1120_00577, HMPREF1120_06730, HMPREF1120_07144, HMPREF1120_07958
OG0000020	HRR76_000271-T1, HRR76_001329-T1, HRR76_001734-T1, HRR76_001735-T1, HRR76_002564-T1, HRR76_003286-T1, HRR76_003487-T1, HRR76_004018-T1	
OG0000021	HRR76_003050-T1, HRR76_005819-T1, HRR76_006379-T1, HRR76_006723-T1	HMPREF1120_02917, HMPREF1120_05595, HMPREF1120_06148, HMPREF1120_06484
OG0000022	HRR76_002274-T2, HRR76_004082-T1, HRR76_004541-T1, HRR76_008376-T1	HMPREF1120_02180, HMPREF1120_03890, HMPREF1120_04350, HMPREF1120_08090
OG0000023	HRR76_001070-T1, HRR76_001394-T1, HRR76_002273-T1, HRR76_007494-T1	HMPREF1120_01040, HMPREF1120_01344, HMPREF1120_02179, HMPREF1120_07271
OG0000024	HRR76_001545-T1, HRR76_002003-T1, HRR76_004012-T1, HRR76_008933-T1	HMPREF1120_01489, HMPREF1120_01929, HMPREF1120_03824, HMPREF1120_08612
OG0000025	HRR76_000332-T1, HRR76_004415-T1, HRR76_004616-T1, HRR76_004628-T1	HMPREF1120_00325, HMPREF1120_04217, HMPREF1120_04427, HMPREF1120_04436
OG0000026	HRR76_000241-T1, HRR76_003256-T1, HRR76_005748-T1, HRR76_006988-T1	HMPREF1120_00241, HMPREF1120_03097, HMPREF1120_05522, HMPREF1120_06781
OG0000027	HRR76_000760-T1, HRR76_007130-T1, HRR76_009085-T1, HRR76_009438-T1	HMPREF1120_00739, HMPREF1120_06923, HMPREF1120_08762, HMPREF1120_09113
OG0000028	HRR76_002909-T1, HRR76_003322-T1, HRR76_006638-T1, HRR76_009019-T1	HMPREF1120_02783, HMPREF1120_03161, HMPREF1120_06407, HMPREF1120_08698
OG0000029	HRR76_001004-T1, HRR76_005295-T1, HRR76_005526-T1, HRR76_009476-T1	HMPREF1120_00972, HMPREF1120_05095, HMPREF1120_05304, HMPREF1120_09151
OG0000030	HRR76_002444-T1, HRR76_002581-T1, HRR76_003074-T1, HRR76_006804-T1	HMPREF1120_02335, HMPREF1120_02465, HMPREF1120_02938, HMPREF1120_06606
OG0000031	HRR76_001562-T1, HRR76_005815-T1, HRR76_007551-T1, HRR76_009487-T1	HMPREF1120_01508, HMPREF1120_05591, HMPREF1120_07326, HMPREF1120_09162
OG0000032	HRR76_005137-T1, HRR76_005419-T1, HRR76_006533-T1, HRR76_007031-T1	HMPREF1120_04932, HMPREF1120_05197, HMPREF1120_06301, HMPREF1120_06825
OG0000033	HRR76_002568-T1, HRR76_003512-T1, HRR76_004347-T1, HRR76_006526-T1	HMPREF1120_02451, HMPREF1120_03348, HMPREF1120_04145, HMPREF1120_06294
OG0000034	HRR76_001619-T1, HRR76_002750-T1, HRR76_007995-T1, HRR76_008430-T1	HMPREF1120_01564, HMPREF1120_02626, HMPREF1120_07756, HMPREF1120_08142
OG0000035		HMPREF1120_00270, HMPREF1120_01284, HMPREF1120_01680, HMPREF1120_01681, HMPREF1120_02447, HMPREF1120_03128, HMPREF1120_03324, HMPREF1120_03829
OG0000036	HRR76_003111-T1, HRR76_005328-T1, HRR76_009064-T1, HRR76_009428-T1	HMPREF1120_05125, HMPREF1120_08741, HMPREF1120_09102
OG0000037	HRR76_003131-T1, HRR76_003807-T1, HRR76_007867-T1, HRR76_009501-T1	HMPREF1120_02973, HMPREF1120_03642, HMPREF1120_07638
OG0000038		HMPREF1120_00008, HMPREF1120_00537, HMPREF1120_00670, HMPREF1120_02145, HMPREF1120_02315, HMPREF1120_02444, HMPREF1120_07205
OG0000039	HRR76_004353-T1, HRR76_006679-T1, HRR76_007463-T1	HMPREF1120_04152, HMPREF1120_06446, HMPREF1120_07240
OG0000040	HRR76_001027-T1, HRR76_001326-T1, HRR76_006232-T1	HMPREF1120_00996, HMPREF1120_01281, HMPREF1120_06003
OG0000041	HRR76_000168-T1, HRR76_001644-T1, HRR76_004699-T1	HMPREF1120_00173, HMPREF1120_01590, HMPREF1120_04510
OG0000042	HRR76_006716-T1, HRR76_007022-T2, HRR76_008267-T1	HMPREF1120_06479, HMPREF1120_06816, HMPREF1120_07981
OG0000043	HRR76_000551-T1, HRR76_000689-T1, HRR76_002240-T1, HRR76_002420-T1, HRR76_002561-T1, HRR76_007426-T1	
OG0000044	HRR76_001490-T1, HRR76_008295-T1, HRR76_009166-T1	HMPREF1120_01433, HMPREF1120_08011, HMPREF1120_08842
OG0000045	HRR76_005199-T1, HRR76_009547-T1	HMPREF1120_04340, HMPREF1120_04341, HMPREF1120_04992, HMPREF1120_09222
OG0000046	HRR76_000029-T1, HRR76_003039-T1, HRR76_008081-T1	HMPREF1120_00038, HMPREF1120_02906, HMPREF1120_07840
OG0000047	HRR76_003124-T1, HRR76_007972-T1, HRR76_008025-T1	HMPREF1120_02964, HMPREF1120_07736, HMPREF1120_07785
